epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,7576.05,0.4398,0.54552,0.57603,0.94327,0,0.99691,0.97938,0.9946,0.91733,0.99691,0.97938,0.9946,0.9271,0.42583,0.53198,0.36826,0.94043,0,0.0004952,0.0004952,0.0004952
40,7770.12,0.42159,0.52811,0.59067,0.93938,0,0.9791,0.96576,0.99009,0.90416,0.9791,0.96576,0.99009,0.91207,0.44757,0.50528,0.40434,0.94673,0,0.0004556,0.0004556,0.0004556
41,7958.56,0.38658,0.55305,0.62147,0.93763,0,0.98749,0.97938,0.99167,0.90984,0.98749,0.97938,0.99167,0.91309,0.40231,0.54182,0.46475,0.94432,0,0.000416,0.000416,0.000416
42,8143.62,0.33374,0.43557,0.55739,0.91332,0,0.99708,0.98969,0.9948,0.91812,0.99708,0.98969,0.9948,0.91964,0.39963,0.53504,0.3543,0.93754,0,0.0003764,0.0003764,0.0003764
43,8330.13,0.31097,0.39723,0.51179,0.89532,0,0.98912,0.93687,0.97939,0.90361,0.98912,0.93687,0.97939,0.90648,0.40876,0.53198,0.53074,0.92976,0,0.0003368,0.0003368,0.0003368
44,8516.73,0.30523,0.39807,0.49443,0.87772,0,0.98774,0.92784,0.98099,0.90938,0.98774,0.92784,0.98099,0.91913,0.39324,0.52103,0.50417,0.9313,0,0.0002972,0.0002972,0.0002972
45,8702.66,0.30279,0.37791,0.48502,0.87013,0,0.97833,0.9307,0.98543,0.91832,0.97833,0.9307,0.98543,0.91275,0.39294,0.56581,0.45112,0.92456,0,0.0002576,0.0002576,0.0002576
46,8889.5,0.29369,0.378,0.57672,0.8736,0,1,0.98137,0.9946,0.91628,1,0.98137,0.9946,0.93479,0.37913,0.55938,0.40273,0.91985,0,0.000218,0.000218,0.000218
47,9077.85,0.27857,0.35686,0.47652,0.86257,0,1,0.92759,0.98998,0.92641,1,0.92759,0.98998,0.92447,0.37937,0.54992,0.53222,0.92567,0,0.0001784,0.0001784,0.0001784
48,9266.96,0.28138,0.37232,0.47319,0.85536,0,1,0.96903,0.99268,0.93014,1,0.96903,0.99268,0.92794,0.37635,0.54444,0.40568,0.91424,0,0.0001388,0.0001388,0.0001388
49,9453.01,0.26953,0.36128,0.45581,0.86284,0,1,0.94775,0.99173,0.92601,1,0.94775,0.99173,0.92604,0.36549,0.55911,0.43611,0.90732,0,9.92e-05,9.92e-05,9.92e-05
50,9643.38,0.26666,0.34764,0.45363,0.86484,0,0.99176,0.93814,0.99182,0.93609,0.99176,0.93814,0.99182,0.92816,0.36476,0.54267,0.45719,0.90848,0,5.96e-05,5.96e-05,5.96e-05
